,eventNum,eventDate,hydroCondition,Var1,Freq,eventHydroCond,State,EventGroup
1,MI8,10/3/2014 8:45,Event,MI8,21,Event,MI,M1
2,MI10,10/3/2014 14:59,Event,MI10,1,Event,MI,M1
3,MI14,10/3/2014 16:48,Event,MI14,1,Event,MI,M1
4,MI9,11/24/2014 6:31,Base,MI9,22,Event,MI,M2
5,MI7,4/9/2015 15:30,Event,MI7,20,Event,MI,M3
6,MI15,6/8/2015 13:45,Event,MI15,12,Event,MI,M4
7,MI11,6/8/2015 14:20,Event,MI11,7,Event,MI,M4
8,MI12,6/8/2015 14:30,Event,MI12,3,Event,MI,M4
9,MI1,9/21/2015 11:20,Base,MI1,21,Base,MI,M5
10,MI2,10/19/2015 13:40,Base,MI2,21,Base,MI,M6
11,MI3,10/28/2015 13:40,Event,MI3,22,Event,MI,M7
12,MI4,12/21/2015 14:45,Event,MI4,24,Event,MI,M8
13,MI5,3/24/2016 13:30,Event,MI5,25,Event,MI,M9
14,MI6,6/8/2016 13:45,Base,MI6,26,Base,MI,M10
15,NY7,9/16/2014 3:30,Event,NY7,10,Event,NY,N1
16,NY8,10/15/2014 17:29,Event,NY8,7,Event,NY,N1
17,NY10,4/20/2015 21:50,Event,NY10,8,Event,NY,N2
18,NY11,6/9/2015 14:45,Event,NY11,2,Event,NY,N3
19,NY9,6/9/2015 14:55,Event,NY9,5,Event,NY,N3
20,NY1,6/27/2015 19:15,Event,NY1,19,Event,NY,N3
21,NY2,8/11/2015 3:00,Event,NY2,9,Event,NY,N4
22,NY3,9/14/2015 15:00,Base,NY3,21,Base,NY,N5
23,NY4,9/29/2015 15:00,Base,NY4,11,Base,NY,N5
24,NY5,2/3/2016 13:20,Event,NY5,22,Event,NY,N6
25,NY6,6/9/2016 12:20,Base,NY6,26,Base,NY,N7
26,WI19,8/25/2014 17:30,Event,WI19,21,Event,WI,W1
27,WI20,9/10/2014 11:35,Event,WI20,18,Event,WI,W1
28,WI22,3/11/2015 18:06,Event,WI22,16,Event,WI,W2
29,WI24,3/11/2015 19:03,Event,WI24,2,Event,WI,W2
30,WI26,3/11/2015 20:40,Event,WI26,1,Event,WI,W2
31,WI25,4/9/2015 13:10,Event,WI25,14,Event,WI,W3
32,WI21,4/9/2015 14:10,Event,WI21,5,Event,WI,W3
33,WI1,6/12/2015 12:45,Event,WI1,15,Event,WI,W4
34,WI2,7/13/2015 11:42,Event,WI2,14,Event,WI,W4
35,WI4,8/10/2015 16:16,Event,WI4,10,Event,WI,W5
36,WI5,8/17/2015 15:30,Base,WI5,15,Base,WI,W6
37,WI7,8/29/2015 12:03,Event,WI7,10,Event,WI,W5
38,WI8,9/8/2015 14:57,Event,WI8,18,Event,WI,W5
39,WI12,11/17/2015 19:20,Event,WI12,10,Event,WI,W7
40,WI13,4/6/2016 9:40,Event,WI13,13,Event,WI,W8
41,WI14,5/3/2016 16:15,Base,WI14,14,Base,WI,W9
42,WI15,5/10/2016 15:47,Event,WI15,18,Event,WI,W8
43,WI17,6/7/2016 15:10,Base,WI17,13,Base,WI,W9
